,title,url,price,image_url,description
10792,HORACE SILVER QUINTET 'Cape Verdean Blues' Vinyl LP NEW/SEALED,http://picclick.com/HORACE-SILVER-QUINTET-Cape-Verdean-Blues-Vinyl-LP-123179323692.html,"{'amount': 25.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/123179323692_/HORACE-SILVER-QUINTET-Cape-Verdean-Blues-Vinyl-LP.jpg,
10793,Horace Silver Cape Verdean Blues vinyl LP NEW sealed,http://picclick.com/Horace-Silver-Cape-Verdean-Blues-vinyl-LP-NEW-322458405112.html,"{'amount': 38.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/322458405112_/Horace-Silver-Cape-Verdean-Blues-vinyl-LP-NEW.jpg,
10794,HORACE SILVER QUINTET - Cape Verdean Blues ( LP Blue Note ST 84220 - EAR VG++ ),http://picclick.com/HORACE-SILVER-QUINTET-Cape-Verdean-Blues-332557162901.html,"{'amount': 119.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/332557162901_/HORACE-SILVER-QUINTET-Cape-Verdean-Blues.jpg,
10795,Cape Verdean National Emblem T-Shirt Tee Shirt Free Sticker Cape Verde flag CPV,http://picclick.com/Cape-Verdean-National-Emblem-T-Shirt-Tee-Shirt-Free-121450756776.html,"{'amount': 15.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/121450756776_/Cape-Verdean-National-Emblem-T-Shirt-Tee-Shirt-Free.jpg,
10796,"HORACE SILVER QUINTET, The - The Cape Verdean Blues (75th Anniversary Edition)",http://picclick.com/HORACE-SILVER-QUINTET-The-The-Cape-Verdean-113059803759.html,"{'amount': 31.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/113059803759_/HORACE-SILVER-QUINTET-The-The-Cape-Verdean.jpg,
10797,"Don Verdean (DVD,2015)",http://picclick.com/Don-Verdean-DVD2015-163108044698.html,"{'amount': 3.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/163108044698_/Don-Verdean-DVD2015.jpg,
10798,Don Verdean Blu-ray,http://picclick.com/Don-Verdean-Blu-ray-302330536266.html,"{'amount': 16.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/302330536266_/Don-Verdean-Blu-ray.jpg,
10799,Cape Verdean Flag T-Shirt Tee Shirt Free Sticker Cape Verde CPV CV,http://picclick.com/Cape-Verdean-Flag-T-Shirt-Tee-Shirt-Free-Sticker-111476707906.html,"{'amount': 15.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/111476707906_/Cape-Verdean-Flag-T-Shirt-Tee-Shirt-Free-Sticker.jpg,
10800,Cape Verdean Shocker T-Shirt Tee Shirt Free Sticker Cape Verde CPV CV,http://picclick.com/Cape-Verdean-Shocker-T-Shirt-Tee-Shirt-Free-Sticker-111476707992.html,"{'amount': 14.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/111476707992_/Cape-Verdean-Shocker-T-Shirt-Tee-Shirt-Free-Sticker.jpg,
10801,lot of 4 singles from HORACE SIKVER all on Blue Note.,http://picclick.com/lot-of-4-singles-from-HORACE-SIKVER-all-323271766876.html,"{'amount': 6.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/323271766876_/lot-of-4-singles-from-HORACE-SIKVER-all.jpg,
